iter	Passed	Remaining
172	448	2146
173	451	2142
174	454	2142
175	457	2141
176	459	2135
177	460	2128
178	462	2121
179	464	2114
180	465	2107
181	467	2100
182	469	2095
183	470	2087
184	472	2080
185	473	2071
186	474	2064
187	476	2056
188	477	2048
189	478	2040
190	479	2033
191	481	2026
192	483	2020
193	484	2013
194	486	2006
195	487	1999
196	488	1993
197	490	1986
198	492	1980
199	493	1975
200	495	1968
201	497	1963
202	498	1958
203	500	1952
204	501	1945
205	503	1939
206	504	1932
207	505	1926
208	507	1920
209	509	1915
210	510	1909
211	512	1903
212	513	1897
213	514	1891
214	516	1885
215	517	1879
216	519	1873
217	520	1867
218	522	1862
219	523	1856
220	524	1850
221	526	1844
222	527	1837
223	529	1832
224	530	1827
225	532	1822
226	533	1816
227	535	1812
228	537	1808
229	538	1804
230	540	1799
231	542	1795
232	544	1791
233	545	1786
234	547	1781
235	548	1776
236	550	1771
237	551	1765
238	553	1760
239	554	1756
240	556	1752
241	558	1747
242	559	1742
243	560	1737
244	562	1733
245	563	1728
246	565	1723
247	566	1718
248	568	1714
249	570	1710
250	571	1705
251	573	1701
252	574	1696
253	576	1692
254	577	1687
255	578	1682
256	580	1677
257	582	1675
258	586	1676
259	589	1676
260	591	1675
261	595	1677
262	599	1680
263	603	1682
264	607	1684
265	610	1685
266	614	1685
267	617	1686
268	619	1682
269	621	1679
270	622	1675
271	625	1673
272	627	1669
273	629	1667
274	630	1663
275	632	1659
276	634	1655
277	635	1651
278	637	1647
279	639	1645
280	641	1642
281	643	1639
282	645	1635
283	647	1631
284	649	1628
285	650	1624
286	652	1621
287	654	1618
288	656	1615
289	658	1613
290	660	1609
291	662	1605
292	664	1602
293	666	1600
294	668	1596
295	669	1592
296	671	1589
297	673	1585
298	675	1582
299	676	1578
300	678	1574
301	679	1570
302	680	1565
303	682	1561
304	683	1558
305	685	1554
306	687	1551
307	689	1548
308	690	1544
309	692	1540
310	693	1536
311	694	1532
312	696	1528
313	697	1524
314	699	1520
315	700	1517
316	702	1513
317	703	1509
318	705	1505
319	706	1501
320	707	1496
321	708	1492
322	709	1487
323	711	1483
324	715	1485
325	716	1482
326	718	1478
327	719	1475
328	721	1470
329	722	1467
330	723	1463
331	724	1458
332	726	1454
333	727	1450
334	728	1447
335	730	1443
336	731	1439
337	734	1438
338	736	1435
339	737	1431
340	738	1427
341	740	1424
342	741	1420
343	743	1416
344	744	1413
345	746	1410
346	747	1407
347	749	1403
348	750	1399
349	752	1396
350	753	1393
351	754	1389
352	756	1385
353	757	1382
354	759	1379
355	760	1376
356	762	1373
357	764	1370
358	765	1367
359	767	1364
360	769	1362
361	771	1359
362	772	1356
363	774	1353
364	775	1349
365	776	1345
366	778	1342
367	779	1339
368	782	1337
369	783	1334
370	785	1331
371	786	1328
372	789	1326
373	791	1324
374	792	1321
375	794	1318
376	795	1314
377	797	1311
378	798	1308
379	800	1306
380	802	1303
381	803	1300
382	805	1297
383	807	1294
384	808	1291
385	810	1288
386	811	1286
387	814	1284
388	815	1281
389	817	1278
390	819	1275
391	820	1273
392	822	1270
393	823	1266
394	825	1264
395	829	1264
396	833	1265
397	836	1264
398	840	1265
399	843	1265
400	846	1265
401	851	1266
402	854	1266
403	858	1266
404	861	1266
405	865	1266
406	868	1265
407	870	1263
408	872	1260
409	874	1258
410	876	1256
411	877	1252
412	879	1249
413	881	1247
414	882	1244
415	885	1243
416	889	1243
417	892	1242
418	895	1241
419	899	1242
420	904	1243
421	908	1243
422	912	1244
423	916	1244
424	919	1244
425	922	1242
426	924	1240
427	926	1238
428	928	1235
429	930	1233
430	932	1230
431	933	1228
432	935	1224
433	936	1221
434	938	1218
435	939	1215
436	941	1213
437	945	1213
438	948	1212
439	953	1213
440	957	1213
441	961	1213
442	964	1213
443	969	1213
444	973	1213
445	977	1214
446	980	1213
447	982	1210
448	984	1208
449	986	1205
450	989	1203
451	990	1201
452	992	1198
453	993	1195
454	995	1192
